Trip,Avg_Speed_kmh,Avg_RPM,Avg_Fuel_L/100km,HighRPM_LowSpeed_%,Long_Idle_Time_%,Accel_Events,Brake_Events,Eco_Score,Trip_Label,Main_Issue,Second_Issue,What_Went_Well_1,What_Went_Well_2,What_Could_Improve_1,What_Could_Improve_2
2017-07-10_Seat_Leon_KA_KA_Stau.csv,14.455887401304498,940.9281153450052,0.4720570382080379,0.01,14.25,340,421,52.618155415035446,Moderate,Main issue: Fuel use (−33 pts),Second issue: Idling (−4 pts),Long idle time is only 14.2% – good anticipation of stops and traffic.,Very little time was spent at high RPM and low speed – gear selection looks efficient.,Average fuel consumption is 0.47 L/100km – consider smoother acceleration and lower RPM where possible.,"340 acceleration and 421 braking events – typical for heavy traffic, but still a chance to smooth things out."
2017-07-11_Seat_Leon_KA_KA_Stau.csv,23.05254057671928,1037.744882592448,0.4147210120512271,0.01,19.8,421,444,55.683478553852744,Moderate,Main issue: Fuel use (−26 pts),Second issue: Idling (−6 pts),Long idle time is only 19.8% – good anticipation of stops and traffic.,Very little time was spent at high RPM and low speed – gear selection looks efficient.,Average fuel consumption is 0.41 L/100km – consider smoother acceleration and lower RPM where possible.,"There were 421 acceleration and 444 braking events – smoother, more anticipatory driving would help."
2017-07-11_Seat_Leon_KA_S_Normal.csv,68.23827506395419,1583.4882202460715,0.2755865384488514,0.01,2.59,1289,1180,64.94461538613784,Moderate,Main issue: Acceleration events (−13 pts),Second issue: Braking events (−12 pts),Average fuel consumption is only 0.28 L/100km – this is efficient for this vehicle.,Long idle time is only 2.6% – good anticipation of stops and traffic.,"There were 1289 acceleration and 1180 braking events – smoother, more anticipatory driving would help.",
2017-07-11_Seat_Leon_S_RT_Frei.csv,58.30481340495927,1445.0535771461098,0.2686448218860841,0.01,8.29,627,704,74.30762137366992,Efficient,Main issue: Fuel use (−8 pts),Second issue: Braking events (−7 pts),Average fuel consumption is only 0.27 L/100km – this is efficient for this vehicle.,Long idle time is only 8.3% – good anticipation of stops and traffic.,"There were 627 acceleration and 704 braking events – smoother, more anticipatory driving would help.",
2017-07-12_Seat_Leon_RT_S_Normal.csv,52.87765625361297,1416.8446366221935,0.2603309616801542,0.0,1.74,1169,1172,68.4802845983815,Moderate,Main issue: Braking events (−12 pts),Second issue: Acceleration events (−12 pts),Average fuel consumption is only 0.26 L/100km – this is efficient for this vehicle.,Long idle time is only 1.7% – good anticipation of stops and traffic.,"There were 1169 acceleration and 1172 braking events – smoother, more anticipatory driving would help.",
2017-07-12_Seat_Leon_S_RT_Normal.csv,59.4788062283737,1420.5402867029165,0.2533647076207295,0.01,3.71,720,758,76.96123508551246,Efficient,Main issue: Braking events (−8 pts),Second issue: Acceleration events (−7 pts),Average fuel consumption is only 0.25 L/100km – this is efficient for this vehicle.,Long idle time is only 3.7% – good anticipation of stops and traffic.,"There were 720 acceleration and 758 braking events – smoother, more anticipatory driving would help.",
2017-07-13_Seat_Leon_KA_KA_Normal.csv,26.121666220676122,1175.085005797877,0.4089249038315673,0.0,12.3,337,314,62.269011540211906,Moderate,Main issue: Fuel use (−25 pts),Second issue: Idling (−4 pts),Long idle time is only 12.3% – good anticipation of stops and traffic.,Very little time was spent at high RPM and low speed – gear selection looks efficient.,Average fuel consumption is 0.41 L/100km – consider smoother acceleration and lower RPM where possible.,"337 acceleration and 314 braking events – typical for heavy traffic, but still a chance to smooth things out."
2017-07-13_Seat_Leon_RT_KA_Stau_Messfehler.csv,68.2244880846568,1490.607791510842,0.29119713290851723,0.0,7.14,1472,1508,55.68634405097795,Moderate,Main issue: Braking events (−15 pts),Second issue: Acceleration events (−15 pts),Average fuel consumption is only 0.29 L/100km – this is efficient for this vehicle.,Long idle time is only 7.1% – good anticipation of stops and traffic.,"There were 1472 acceleration and 1508 braking events – smoother, more anticipatory driving would help.",
2017-07-14_Seat_Leon_KA_KA_Frei.csv,42.366207502930834,1408.9696658851115,0.3468675989528349,0.0,4.97,213,167,76.09088812565982,Efficient,Main issue: Fuel use (−18 pts),Second issue: Acceleration events (−2 pts),Long idle time is only 5.0% – good anticipation of stops and traffic.,Very little time was spent at high RPM and low speed – gear selection looks efficient.,"Fuel consumption is 0.35 L/100km – acceptable, but there is room to reduce it with gentler throttle input.",
2017-07-14_Seat_Leon_KA_RT_Normal.csv,62.103549748297304,1509.1177265324252,0.28667129999652446,0.01,4.74,1521,1450,57.72944400041706,Moderate,Main issue: Acceleration events (−15 pts),Second issue: Braking events (−14 pts),Average fuel consumption is only 0.29 L/100km – this is efficient for this vehicle.,Long idle time is only 4.7% – good anticipation of stops and traffic.,"There were 1521 acceleration and 1450 braking events – smoother, more anticipatory driving would help.",
2017-07-24_Seat_Leon_RT_KA_Normal.csv,75.92479174641366,1635.853174386176,0.2243344187738839,0.0,0.82,1620,1614,65.52986974713393,Moderate,Main issue: Braking events (−16 pts),Second issue: Acceleration events (−15 pts),Average fuel consumption is only 0.22 L/100km – this is efficient for this vehicle.,Long idle time is only 0.8% – good anticipation of stops and traffic.,"There were 1620 acceleration and 1614 braking events – smoother, more anticipatory driving would help.",
2017-07-26_Seat_Leon_RT_S_Stau.csv,48.7122188193051,1401.8795015313126,0.31149401475425936,0.01,1.77,1343,1427,58.035718229488864,Moderate,Main issue: Braking events (−14 pts),Second issue: Acceleration events (−13 pts),Long idle time is only 1.8% – good anticipation of stops and traffic.,Very little time was spent at high RPM and low speed – gear selection looks efficient.,"Fuel consumption is 0.31 L/100km – acceptable, but there is room to reduce it with gentler throttle input.","There were 1343 acceleration and 1427 braking events – smoother, more anticipatory driving would help."
2017-07-26_Seat_Leon_S_KA_Normal.csv,65.28524499144034,1569.1611530097628,0.2976739432069314,0.0,2.08,635,637,74.51912681516822,Efficient,Main issue: Fuel use (−12 pts),Second issue: Braking events (−6 pts),Average fuel consumption is only 0.30 L/100km – this is efficient for this vehicle.,Long idle time is only 2.1% – good anticipation of stops and traffic.,"There were 635 acceleration and 637 braking events – smoother, more anticipatory driving would help.",
2017-07-27_Seat_Leon_KA_KA_2_Normal.csv,24.91920264213258,1116.8468388770937,0.4142771547714006,0.0,22.87,420,399,54.66174142743193,Moderate,Main issue: Fuel use (−26 pts),Second issue: Idling (−7 pts),Very little time was spent at high RPM and low speed – gear selection looks efficient.,,Average fuel consumption is 0.41 L/100km – consider smoother acceleration and lower RPM where possible.,Long idle time is 22.9% – some of this could likely be avoided.
2017-07-27_Seat_Leon_KA_KA_Normal.csv,33.66033289144204,1240.9871851524524,0.3447974979724114,0.0,9.23,373,409,70.18930024331064,Efficient,Main issue: Fuel use (−17 pts),Second issue: Braking events (−4 pts),Long idle time is only 9.2% – good anticipation of stops and traffic.,Very little time was spent at high RPM and low speed – gear selection looks efficient.,"Fuel consumption is 0.34 L/100km – acceptable, but there is room to reduce it with gentler throttle input.","373 acceleration and 409 braking events – typical for heavy traffic, but still a chance to smooth things out."
2017-07-28_Seat_Leon_KA_KA_Normal.csv,32.742236917768835,1208.5630391029326,0.3474508731201109,0.0,8.34,390,405,70.18589522558669,Efficient,Main issue: Fuel use (−18 pts),Second issue: Braking events (−4 pts),Long idle time is only 8.3% – good anticipation of stops and traffic.,Very little time was spent at high RPM and low speed – gear selection looks efficient.,"Fuel consumption is 0.35 L/100km – acceptable, but there is room to reduce it with gentler throttle input.","390 acceleration and 405 braking events – typical for heavy traffic, but still a chance to smooth things out."
2017-07-28_Seat_Leon_KA_RT_Stau.csv,59.01429059361978,1439.2751963931962,0.26860750189869265,0.0,10.5,1953,1841,53.107099772156886,Moderate,Main issue: Braking events (−18 pts),Second issue: Acceleration events (−15 pts),Average fuel consumption is only 0.27 L/100km – this is efficient for this vehicle.,Long idle time is only 10.5% – good anticipation of stops and traffic.,"There were 1953 acceleration and 1841 braking events – smoother, more anticipatory driving would help.",
2017-07-31_Seat_Leon_KA_KA_Frei.csv,26.787057938299473,1229.129984951091,0.3729958668881121,0.0,12.87,275,271,67.34549597342655,Moderate,Main issue: Fuel use (−21 pts),Second issue: Idling (−4 pts),Long idle time is only 12.9% – good anticipation of stops and traffic.,Very little time was spent at high RPM and low speed – gear selection looks efficient.,"Fuel consumption is 0.37 L/100km – acceptable, but there is room to reduce it with gentler throttle input.","275 acceleration and 271 braking events – typical for heavy traffic, but still a chance to smooth things out."
2017-07-31_Seat_Leon_RT_KA_Normal.csv,75.47378153019572,1617.1204514530928,0.2456234702405119,0.0,6.21,1633,1597,60.45018357113857,Moderate,Main issue: Braking events (−16 pts),Second issue: Acceleration events (−15 pts),Average fuel consumption is only 0.25 L/100km – this is efficient for this vehicle.,Long idle time is only 6.2% – good anticipation of stops and traffic.,"There were 1633 acceleration and 1597 braking events – smoother, more anticipatory driving would help.",
2017-08-01_Seat_Leon_KA_KA_Frei.csv,31.211995863495346,1156.8017924853498,0.34666354241006053,0.0,15.69,370,396,66.89537491079274,Moderate,Main issue: Fuel use (−18 pts),Second issue: Idling (−5 pts),Long idle time is only 15.7% – good anticipation of stops and traffic.,Very little time was spent at high RPM and low speed – gear selection looks efficient.,"Fuel consumption is 0.35 L/100km – acceptable, but there is room to reduce it with gentler throttle input.","370 acceleration and 396 braking events – typical for heavy traffic, but still a chance to smooth things out."
2017-08-01_Seat_Leon_KA_RT_Normal.csv,73.43237361901573,1561.9382951121527,0.24396877814739049,0.0,10.5,1194,1161,65.92374662231315,Moderate,Main issue: Acceleration events (−12 pts),Second issue: Braking events (−12 pts),Average fuel consumption is only 0.24 L/100km – this is efficient for this vehicle.,Long idle time is only 10.5% – good anticipation of stops and traffic.,"There were 1194 acceleration and 1161 braking events – smoother, more anticipatory driving would help.",
2017-08-02_Seat_Leon_RT_S_Normal.csv,59.524650172642076,1410.2602092473844,0.24295436100353465,0.0,3.22,983,1002,73.38547667957585,Efficient,Main issue: Braking events (−10 pts),Second issue: Acceleration events (−10 pts),Average fuel consumption is only 0.24 L/100km – this is efficient for this vehicle.,Long idle time is only 3.2% – good anticipation of stops and traffic.,"There were 983 acceleration and 1002 braking events – smoother, more anticipatory driving would help.",
2017-08-03_Seat_Leon_S_RT_Normal.csv,75.80950889010731,1523.3738544685518,0.18558913647430703,0.0,4.87,445,453,90.31430362308315,Efficient,Main issue: Braking events (−5 pts),Second issue: Acceleration events (−4 pts),Average fuel consumption is only 0.19 L/100km – this is efficient for this vehicle.,Long idle time is only 4.9% – good anticipation of stops and traffic.,"There were 445 acceleration and 453 braking events – smoother, more anticipatory driving would help.",
2017-08-04_Seat_Leon_S_RT_Normal.csv,71.85968751899811,1546.3015380874217,0.21799370590527,0.02,7.21,703,692,80.2857552913676,Efficient,Main issue: Acceleration events (−7 pts),Second issue: Braking events (−7 pts),Average fuel consumption is only 0.22 L/100km – this is efficient for this vehicle.,Long idle time is only 7.2% – good anticipation of stops and traffic.,"There were 703 acceleration and 692 braking events – smoother, more anticipatory driving would help.",
